PersonId,ServiceId,ServiceName,SpendingPolicyId,MetricDate,Session count,Spending policy limit,Total Copilot Credits used,User limit,PeopleHistoricalId
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-05-03,88,624000,22976.7902,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-05-10,23,624000,18620.8067,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-05-17,96,624000,29526.5333,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-05-24,36,624000,31363.3053,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-05-31,121,624000,41149.6352,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-06-07,41,624000,33975.1046,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-06-14,66,624000,30554.0595,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-06-21,40,624000,26391.4767,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-06-28,67,624000,24320.6814,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-07-05,58,624000,37126.8238,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-07-12,79,624000,61990.2082,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-07-19,51,624000,31548.6637,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
9d685c73-0849-0523-3e39-cc6f7d6dde94,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,80062a9d-3f39-5601-897e-c676a66867df,2026-07-26,176,624000,43750.1179,4240,9d685c73-0849-0523-3e39-cc6f7d6dde941769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-05-03,20,346000,4757.2352,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-05-10,5,346000,3927.8904,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-05-17,5,346000,3419.8025,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-05-31,6,346000,5225.7232,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-06-07,5,346000,3919.1941,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-06-14,5,346000,3780.4471,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-06-28,3,346000,2526.7493,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-07-05,3,346000,2975.2278,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-07-19,7,346000,4787.8215,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
b5ec100b-2415-34bb-4ef3-9427b12d8b08,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-07-26,10,346000,3141.4058,6839,b5ec100b-2415-34bb-4ef3-9427b12d8b081769731200
dd23272d-350f-3d7e-97ff-c5a52ac66ce5,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-05-24,9,346000,1597.4313,6839,dd23272d-350f-3d7e-97ff-c5a52ac66ce51769731200
dd23272d-350f-3d7e-97ff-c5a52ac66ce5,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,00000000-0000-0000-0000-000000000000,2026-05-24,1,,159.44409,,dd23272d-350f-3d7e-97ff-c5a52ac66ce51769731200
dd23272d-350f-3d7e-97ff-c5a52ac66ce5,aa01bb02-cc03-dd04-ee05-ff06aa07bb08,Cowork,04f20cf3-1610-5311-b3c1-d3c7d55337e8,2026-05-31,2,346000,901.28797,6839,dd23272d-350f-3d7e-97ff-c5a52ac66ce51769731200
